iter	Passed	Remaining
905	9039	937
906	9049	927
907	9060	917
908	9068	907
909	9076	897
910	9087	887
911	9095	877
912	9108	867
913	9116	857
914	9125	847
915	9135	837
916	9144	827
917	9152	817
918	9163	807
919	9172	797
920	9182	787
921	9190	777
922	9200	767
923	9209	757
924	9219	747
925	9227	737
926	9242	727
927	9250	717
928	9260	707
929	9270	697
930	9279	687
931	9290	677
932	9300	667
933	9309	657
934	9318	647
935	9331	638
936	9341	628
937	9351	618
938	9360	608
939	9370	598
940	9378	588
941	9389	578
942	9397	568
943	9405	557
944	9421	548
945	9431	538
946	9441	528
947	9449	518
948	9458	508
949	9471	498
950	9480	488
951	9490	478
952	9500	468
953	9510	458
954	9520	448
955	9530	438
956	9539	428
957	9548	418
958	9557	408
959	9567	398
960	9583	388
961	9594	378
962	9602	368
963	9616	359
964	9626	349
965	9640	339
966	9648	329
967	9657	319
968	9666	309
969	9676	299
970	9687	289
971	9700	279
972	9711	269
973	9721	259
974	9731	249
975	9738	239
976	9749	229
977	9760	219
978	9768	209
979	9782	199
980	9794	189
981	9802	179
982	9813	169
983	9823	159
984	9835	149
985	9846	139
986	9855	129
987	9867	119
988	9878	109
989	9888	99
990	9897	89
991	9911	79
992	9921	69
993	9935	59
994	9946	49
995	9958	39
996	9967	29
997	9980	20
998	9991	10
999	10000	0
